11000,Rockhampton,Jon Yang,Male,54,90000.00,2022-01-19,1-2 Miles
11001,Seaford,Eugene Huang,Male,49,60000.00,2022-01-15,0-1 Miles
11002,Hobart,Ruben Torres,Male,54,60000.00,2022-01-07,2-5 Miles
11003,North Ryde,Christy Zhu,Female,52,70000.00,2021-12-29,5-10 Miles
11004,Wollongong,Elizabeth Johnson,Female,46,80000.00,2022-01-23,1-2 Miles
11005,East Brisbane,Julio Ruiz,Male,49,70000.00,2021-12-30,5-10 Miles
11006,Matraville,Janet Alvarez,Female,49,70000.00,2022-01-24,5-10 Miles
11007,Warrnambool,Marco Mehta,Male,56,60000.00,2022-01-09,0-1 Miles
11008,Bendigo,Rob Verhoff,Female,50,60000.00,2022-01-25,10+ Miles
11009,Hervey Bay,Shannon Carlson,Male,56,70000.00,2022-01-27,5-10 Miles
11010,East Brisbane,Jacquelyn Suarez,Female,56,70000.00,2022-01-14,5-10 Miles
11011,East Brisbane,Curtis Lu,Male,56,60000.00,2021-12-30,10+ Miles
11012,Bremerton,Lauren Walker,Female,46,100000.00,2024-03-16,1-2 Miles
11013,Lebanon,Ian Jenkins,Male,46,100000.00,2024-04-13,0-1 Miles
11014,Redmond,Sydney Bennett,Female,52,100000.00,2024-03-23,1-2 Miles
11015,Burbank,Chloe Young,Female,41,30000.00,2024-01-18,5-10 Miles
11016,Imperial Beach,Wyatt Hill,Male,41,30000.00,2024-02-09,5-10 Miles
11017,Sunbury,Shannon Wang,Female,76,20000.00,2022-01-12,5-10 Miles
11018,Bendigo,Clarence Rai,Male,70,30000.00,2022-01-17,5-10 Miles
11019,Langley,Luke Lal,Male,42,40000.00,2024-02-12,5-10 Miles
11020,Metchosin,Jordan King,Male,41,40000.00,2023-12-29,1-2 Miles
11021,Beaverton,Destiny Wilson,Female,41,40000.00,2024-01-23,1-2 Miles
11022,Bellingham,Ethan Zhang,Male,41,40000.00,2024-01-20,5-10 Miles
11023,Bellflower,Seth Edwards,Male,41,40000.00,2024-02-17,1-2 Miles
11024,Concord,Russell Xie,Male,41,60000.00,2024-06-27,5-10 Miles
11025,Hawthorne,Alejandro Beck,Male,74,10000.00,2022-01-06,1-2 Miles
11026,Goulburn,Harold Sai,Male,74,30000.00,2022-01-23,1-2 Miles
11027,Warrnambool,Jessie Zhao,Male,73,30000.00,2022-01-16,5-10 Miles
11028,St. Leonards,Jill Jimenez,Female,74,30000.00,2022-01-26,1-2 Miles
11029,Bendigo,Jimmy Moreno,Male,73,30000.00,2022-01-19,1-2 Miles
11030,Cloverdale,Bethany Yuan,Female,67,10000.00,2022-02-05,1-2 Miles
11031,Matraville,Theresa Ramos,Female,72,20000.00,2022-02-01,1-2 Miles
11032,Melbourne,Denise Stone,Female,73,20000.00,2022-02-18,1-2 Miles
11033,Milsons Point,Jaime Nath,Male,67,20000.00,2022-02-15,5-10 Miles
11034,North Sydney,Ebony Gonzalez,Female,73,20000.00,2022-02-01,5-10 Miles
11035,Cranbourne,Wendy Dominguez,Female,72,10000.00,2022-02-06,1-2 Miles
11036,National City,Jennifer Russell,Female,41,60000.00,2024-01-22,1-2 Miles
11037,Cliffside,Chloe Garcia,Female,42,40000.00,2024-01-20,5-10 Miles
11038,Lavender Bay,Diana Hernandez,Female,72,10000.00,2022-02-07,5-10 Miles
11039,Wollongong,Marc Martin,Male,71,30000.00,2022-02-07,5-10 Miles
11040,Tacoma,Jesse Murphy,Male,42,30000.00,2024-04-03,1-2 Miles
11041,Glendale,Amanda Carter,Female,42,60000.00,2024-01-14,1-2 Miles
11042,Los Angeles,Megan Sanchez,Female,43,70000.00,2024-01-21,0-1 Miles
11043,Glendale,Nathan Simmons,Male,44,60000.00,2024-05-08,5-10 Miles
11044,Hervey Bay,Adam Flores,Male,71,20000.00,2022-02-28,1-2 Miles
11045,Matraville,Leonard Nara,Male,70,30000.00,2024-04-10,1-2 Miles
11046,Lavender Bay,Christine Yuan,Female,70,30000.00,2022-02-06,5-10 Miles
11047,Geelong,Jaclyn Lu,Female,70,30000.00,2022-02-03,1-2 Miles
11048,Sunbury,Jeremy Powell,Male,69,30000.00,2022-02-10,5-10 Miles
11049,Chula Vista,Carol Rai,Female,39,40000.00,2024-03-09,5-10 Miles
11050,Hobart,Alan Zheng,Male,68,30000.00,2022-02-20,5-10 Miles
11051,Caloundra,Daniel Johnson,Male,68,30000.00,2024-12-29,1-2 Miles
11052,Matraville,Heidi Lopez,Female,68,40000.00,2022-02-17,5-10 Miles
11053,San Diego,Ana Price,Female,39,60000.00,2024-01-17,1-2 Miles
11054,Geelong,Deanna Munoz,Female,68,40000.00,2022-02-03,5-10 Miles
11055,East Brisbane,Gilbert Raje,Male,68,40000.00,2022-01-31,5-10 Miles
11056,Newcastle,Michele Nath,Female,67,40000.00,2022-02-26,5-10 Miles
11057,Lane Cove,Carl Andersen,Male,55,70000.00,2022-02-22,1-2 Miles
11058,Findon,Marc Diaz,Male,60,80000.00,2022-03-09,1-2 Miles
11059,Townsville,Ashlee Andersen,Female,66,80000.00,2024-02-18,5-10 Miles
11060,Warrnambool,Jon Zhou,Male,66,80000.00,2022-03-19,5-10 Miles
11061,Gold Coast,Todd Gao,Male,49,80000.00,2022-03-13,5-10 Miles
11062,Portland,Noah Powell,Male,44,40000.00,2024-01-07,5-10 Miles
11063,Redmond,Angela Murphy,Female,45,40000.00,2024-01-12,5-10 Miles
11064,Downey,Chase Reed,Male,44,40000.00,2024-01-25,5-10 Miles
11065,La Jolla,Jessica Henderson,Female,46,60000.00,2024-02-10,1-2 Miles
11066,Lebanon,Grace Butler,Female,46,70000.00,2024-05-31,5-10 Miles
11067,Port Orchard,Caleb Carter,Male,43,60000.00,2024-08-18,5-10 Miles
11068,Warrnambool,Tiffany Liang,Female,59,80000.00,2024-04-30,5-10 Miles
11069,Gold Coast,Carolyn Navarro,Female,59,80000.00,2022-04-17,1-2 Miles
11070,Sunbury,Willie Raji,Male,65,80000.00,2022-04-28,5-10 Miles
11071,Hawthorne,Linda Serrano,Female,65,80000.00,2024-03-01,5-10 Miles
11072,St. Leonards,Casey Luo,Female,65,80000.00,2022-03-31,1-2 Miles
11073,Springwood,Amy Ye,Female,63,70000.00,2024-03-23,5-10 Miles
11074,Cloverdale,Levi Arun,Male,63,70000.00,2024-03-23,5-10 Miles
11075,Bendigo,Felicia Jimenez,Female,62,80000.00,2022-04-28,5-10 Miles
11076,Wollongong,Blake Anderson,Male,62,80000.00,2022-04-21,5-10 Miles
11077,Melton,Leah Ye,Female,62,80000.00,2022-04-15,1-2 Miles
11078,Cliffside,Gina Martin,Female,40,40000.00,2024-02-15,1-2 Miles
11079,Geelong,Donald Gonzalez,Male,55,160000.00,2024-03-15,0-1 Miles
11080,Perth,Damien Chander,Male,60,170000.00,2022-04-10,0-1 Miles
11081,Concord,Savannah Baker,Female,53,120000.00,2024-02-12,2-5 Miles
11082,Fremont,Angela Butler,Female,53,130000.00,2024-01-22,1-2 Miles
11083,Lincoln Acres,Alyssa Cox,Female,48,130000.00,2024-01-06,1-2 Miles
11084,Lebanon,Lucas Phillips,Male,62,80000.00,2024-01-04,1-2 Miles
11085,Newport Beach,Emily Johnson,Female,62,60000.00,2024-12-06,5-10 Miles
11086,Santa Monica,Ryan Brown,Male,62,70000.00,2024-07-02,0-1 Miles
11087,Chula Vista,Tamara Liang,Female,62,70000.00,2024-02-25,0-1 Miles
11088,San Diego,Hunter Davis,Male,62,80000.00,2024-01-13,2-5 Miles
11089,Long Beach,Abigail Price,Female,63,80000.00,2023-12-29,2-5 Miles
11090,Los Angeles,Trevor Bryant,Male,57,90000.00,2022-08-07,2-5 Miles
11091,Haney,Dalton Perez,Male,63,90000.00,2024-01-29,5-10 Miles
11092,East Brisbane,Cheryl Diaz,Female,53,90000.00,2022-04-08,1-2 Miles
11093,Wollongong,Aimee He,Female,47,100000.00,2022-04-07,0-1 Miles
11094,Cranbourne,Cedric Ma,Male,58,70000.00,2024-04-07,0-1 Miles
11095,Port Macquarie,Chad Kumar,Male,57,70000.00,2022-04-01,5-10 Miles
11096,North Sydney,Andrés Anand,Male,57,60000.00,2022-04-11,5-10 Miles
11097,Warrnambool,Edwin Nara,Male,53,60000.00,2022-04-04,5-10 Miles
11098,Rhodes,Mallory Rubio,Female,59,60000.00,2024-02-11,0-1 Miles
11099,Port Macquarie,Adam Ross,Male,59,60000.00,2022-04-07,0-1 Miles
11100,Cloverdale,Latasha Navarro,Female,59,60000.00,2022-04-16,5-10 Miles
11101,Cranbourne,Abby Sai,Female,55,70000.00,2022-04-29,0-1 Miles
11102,Sydney,Julia Nelson,Female,55,80000.00,2024-07-16,1-2 Miles
11103,Darlinghurst,Cassie Chande,Female,44,70000.00,2022-04-15,5-10 Miles
11104,Gold Coast,Edgar Sara,Male,50,70000.00,2022-05-04,0-1 Miles
11105,Matraville,Candace Fernandez,Female,55,70000.00,2022-05-14,5-10 Miles
11106,Warrnambool,Jessie Liu,Male,55,70000.00,2022-05-18,5-10 Miles
11107,St. Leonards,Bianca Lin,Female,49,90000.00,2022-05-01,5-10 Miles
11108,Port Macquarie,Kari Alvarez,Female,56,70000.00,2022-05-03,0-1 Miles
11109,South Melbourne,Ruben Kapoor,Male,45,70000.00,2022-05-10,0-1 Miles
11110,Darlinghurst,Curtis Yang,Male,58,60000.00,2022-05-01,5-10 Miles
11111,Geelong,Meredith Gutierrez,Female,58,60000.00,2022-05-20,0-1 Miles
11112,Hervey Bay,Crystal Wang,Female,57,60000.00,2022-05-25,0-1 Miles
11113,Perth,Micheal Blanco,Male,52,70000.00,2024-02-01,5-10 Miles
11114,Rhodes,Leslie Moreno,Female,58,70000.00,2024-03-18,5-10 Miles
11115,St. Leonards,Alvin Cai,Male,58,70000.00,2024-02-10,0-1 Miles
11116,Sydney,Clinton Carlson,Male,46,70000.00,2024-03-15,5-10 Miles
11117,Matraville,April Deng,Female,59,70000.00,2022-05-06,10+ Miles
11118,Lavender Bay,Alvin Zeng,Male,63,80000.00,2024-07-10,0-1 Miles
11119,Port Macquarie,Evan James,Male,85,30000.00,2024-02-03,0-1 Miles
11120,Sydney,Beth Jiménez,Female,83,40000.00,2022-05-14,5-10 Miles
11121,Newcastle,Orlando Suarez,Male,59,70000.00,2024-06-24,10+ Miles
11122,North Sydney,Byron Vazquez,Male,60,70000.00,2024-02-21,5-10 Miles
11123,Sunbury,Philip Alvarez,Male,60,70000.00,2024-04-17,10+ Miles
11124,Warrnambool,Ross Jordan,Male,57,80000.00,2022-05-05,5-10 Miles
11125,Seaford,Dana Navarro,Female,64,70000.00,2024-01-31,5-10 Miles
11126,North Ryde,Shaun Carson,Male,71,10000.00,2022-05-28,0-1 Miles
11127,San Gabriel,Jan Edwards,Female,44,40000.00,2024-04-10,5-10 Miles
11128,Renton,Samantha Long,Female,44,40000.00,2024-06-19,5-10 Miles
11129,Sedro Woolley,Julia Wright,Female,44,40000.00,2022-08-06,5-10 Miles
11130,Lebanon,Caroline Russell,Female,40,30000.00,2024-12-09,5-10 Miles
11131,Haney,Amanda Rivera,Female,40,30000.00,2024-10-18,0-1 Miles
11132,Langford,Melissa Richardson,Female,39,30000.00,2024-04-09,5-10 Miles
11133,Lake Oswego,Angela Griffin,Female,39,30000.00,2024-12-30,0-1 Miles
11134,Perth,Larry Townsend,Male,68,10000.00,2022-05-03,5-10 Miles
11135,Burlingame,Marcus Harris,Male,40,30000.00,2024-04-18,5-10 Miles
11136,Metchosin,Brianna Morgan,Female,41,40000.00,2024-01-03,0-1 Miles
11137,Spokane,Jasmine Taylor,Female,41,40000.00,2024-07-31,5-10 Miles
11138,Glendale,Lauren Davis,Female,41,40000.00,2024-09-19,0-1 Miles
11139,Cloverdale,Tanya Moreno,Female,76,30000.00,2024-09-14,5-10 Miles
11140,Burbank,Javier Alvarez,Male,43,30000.00,2024-03-19,5-10 Miles
11141,Daly City,Nicole Ramirez,Female,43,40000.00,2024-05-16,0-1 Miles
11142,Langford,Eduardo Patterson,Male,42,40000.00,2024-02-13,0-1 Miles
11143,Lakewood,Jonathan Henderson,Male,43,40000.00,2024-06-15,5-10 Miles
11144,Ballard,Edward Hernandez,Male,40,40000.00,2024-01-25,0-1 Miles
11145,Beaverton,Jasmine Coleman,Female,40,40000.00,2024-01-25,0-1 Miles
11146,Matraville,Karla Goel,Female,80,40000.00,2024-02-05,5-10 Miles
11147,Warrnambool,Ernest Wu,Male,81,60000.00,2022-05-13,0-1 Miles
11148,East Brisbane,Ross Vazquez,Male,78,40000.00,2024-03-07,5-10 Miles
11149,Hervey Bay,Theodore Gill,Male,79,40000.00,2024-06-04,0-1 Miles
11150,Sunbury,Russell Shen,Male,79,40000.00,2024-03-27,5-10 Miles
11151,Sydney,Melinda Gill,Female,78,60000.00,2022-05-15,0-1 Miles
11152,Puyallup,James Williams,Male,44,40000.00,2024-01-09,5-10 Miles
11153,Renton,Angela James,Female,44,40000.00,2024-03-29,5-10 Miles
11154,Woodburn,Megan Walker,Female,43,40000.00,2024-01-10,5-10 Miles
11155,Burbank,Hunter Robinson,Male,44,40000.00,2024-01-06,1-2 Miles
11156,Lakewood,Maria Roberts,Female,44,40000.00,2024-01-08,1-2 Miles
11157,Tacoma,Hannah Long,Female,45,40000.00,2024-07-24,5-10 Miles
11158,San Gabriel,Jason Wright,Male,44,40000.00,2024-01-19,5-10 Miles
11159,Woodland Hills,Brianna Hughes,Female,44,40000.00,2024-09-08,1-2 Miles
11160,Concord,Maurice Tang,Male,46,40000.00,2024-02-21,5-10 Miles
11161,Concord,Emily Wood,Female,46,40000.00,2024-06-01,1-2 Miles
